#,tier,project_id,title,framework,build_cmd,output_dir,deploy_target,env_vars,ai_providers,deployed?,live_url,notes
001,A,340b-platform,340B Platform,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
002,A,ai-dj-playset-generator,AI DJ Playset Generator,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
003,A,ai-temp-recruiter,AI Temp Recruiter,Vite+React,npm run build,dist,cloudflare-pages,,,,,
004,A,b-claim-alchemy,B Claim Alchemy,Vite+React,npm run build,dist,cloudflare-pages,,,,,
005,A,beat-by-dj-pooja,Beat by DJ Pooja,Next.js,npm run build,out,vercel,,,,,
006,A,beat-stitch-studio,Beat Stitch Studio,Vite+React,npm run build,dist,cloudflare-pages,,,,,
007,A,bloom-align-connect,Bloom Align Connect,Vite+React,npm run build,dist,cloudflare-pages,,,,,
008,A,booth-lead-pro,Booth Lead Pro,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
009,A,chat-with-docs-pk,Chat with Docs,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
010,A,cheap-tour-hopper-79,Cheap Tour Hopper 79,Vite+React,npm run build,dist,cloudflare-pages,,,,,
011,A,bolt-college-job-finder-landing-page,College Job Finder Landing Page,Vite+React,npm run build,dist,cloudflare-pages,,,,,
012,A,bolt-commerce-js-store,Commerce JS Store,Vite+React,npm run build,dist,cloudflare-pages,VITE_COMMERCEJS_PUBLIC_KEY,,,,
013,A,dashboard-prototype-playful,Dashboard Prototype Playful,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
014,A,dictation-app-pk,Dictation App,Vite,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
015,A,digital-garage-ai,Digital Garage AI,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
016,A,document-zenith-view,Document Zenith View,Vite+React,npm run build,dist,cloudflare-pages,,,,,
017,A,gemini-ai-studio-echoscript-pk,Echoscript,Vite+React,npm run build,dist,cloudflare-pages,API_KEY;GEMINI_API_KEY,gemini,,,
